用户ID,商品,购买日期,购买价格 (元)
3975,Clothing,2023-09-12,3052
1716,Shoes,2023-11-04,9638
2557,Clothing,2023-09-12,1022
5438,Books,2023-10-28,424
5990,Food & Beverage,2023-10-22,8947
1703,Toys,2023-10-09,3229
2250,Books,2023-10-10,117
5965,Technology,2023-09-12,8334
4779,Clothing,2023-10-06,4345
3161,Shoes,2023-11-01,560
5024,Shoes,2023-11-03,7849
1237,Shoes,2023-09-10,1205
4813,Toys,2023-10-24,8408
4555,Technology,2023-09-19,5719
5729,Books,2023-10-05,1477
1312,Shoes,2023-11-24,6902
4904,Food & Beverage,2023-11-08,1602
2873,Technology,2023-09-12,7020
3152,Shoes,2023-11-10,3607
2738,Toys,2023-10-30,7008
3315,Cosmetics,2023-09-01,8142
3955,Technology,2023-10-06,395
2459,Cosmetics,2023-10-08,5147
1886,Technology,2023-09-26,6437
3931,Food & Beverage,2023-09-23,5875
1751,Food & Beverage,2023-10-18,3368
5625,Technology,2023-09-24,3681
1498,Shoes,2023-09-21,4584
1097,Food & Beverage,2023-10-26,8032
3564,Shoes,2023-10-04,6068
2842,Toys,2023-10-20,4770
2782,Technology,2023-10-23,6392
4702,Shoes,2023-10-20,1895
1261,Food & Beverage,2023-11-16,711
1741,Technology,2023-10-18,935
1414,Books,2023-10-16,5054
4339,Cosmetics,2023-09-03,6302
2508,Clothing,2023-11-24,3464
5360,Technology,2023-10-11,6182
1759,Clothing,2023-09-14,3307
2915,Shoes,2023-11-15,6453
1804,Books,2023-11-08,186
2642,Technology,2023-10-24,8016
2910,Toys,2023-10-07,2659
3169,Technology,2023-10-25,1192
2505,Shoes,2023-09-25,7055
5396,Technology,2023-11-13,9134
3775,Toys,2023-11-07,351
3271,Food & Beverage,2023-10-23,656
1939,Clothing,2023-10-05,6289
3711,Cosmetics,2023-09-17,4619
4802,Books,2023-10-09,546
5974,Toys,2023-09-15,4621
1842,Clothing,2023-09-27,7402
3322,Shoes,2023-09-07,458
3215,Books,2023-10-13,5383
3468,Cosmetics,2023-10-13,4407
2990,Cosmetics,2023-10-30,3769
5673,Food & Beverage,2023-11-23,9031
2624,Shoes,2023-11-10,9162
4182,Shoes,2023-11-06,6406
4767,Technology,2023-11-22,4506
3355,Technology,2023-09-12,8105
1393,Books,2023-11-11,2743
1166,Technology,2023-10-03,1757
3553,Food & Beverage,2023-10-18,2077
1225,Toys,2023-10-15,6570
1167,Food & Beverage,2023-10-13,1726
5424,Toys,2023-10-10,119
3960,Food & Beverage,2023-10-09,2907
5874,Technology,2023-10-26,1571
3127,Cosmetics,2023-11-10,9318
1086,Books,2023-11-15,5990
5146,Cosmetics,2023-11-10,394
1252,Toys,2023-09-09,4403
1970,Clothing,2023-09-26,1154
3513,Books,2023-10-04,4583
5527,Technology,2023-09-30,8601
2995,Technology,2023-09-23,7878
2829,Technology,2023-10-01,7039
4725,Cosmetics,2023-09-21,7650
1052,Technology,2023-10-20,3790
4166,Shoes,2023-10-08,2914
2393,Toys,2023-09-13,8972
4881,Toys,2023-09-02,2970
4139,Technology,2023-11-08,6825
3470,Cosmetics,2023-10-19,2901
5046,Clothing,2023-10-09,9670
1092,Technology,2023-10-28,1884
5065,Shoes,2023-11-22,824
2814,Clothing,2023-11-03,1911
4281,Clothing,2023-10-13,2225
2159,Food & Beverage,2023-10-06,6356
5082,Books,2023-09-09,2848
4906,Clothing,2023-10-18,775
2563,Clothing,2023-10-21,9935
4423,Technology,2023-09-04,5857
4108,Cosmetics,2023-11-07,8945
2874,Technology,2023-10-20,2716
1844,Food & Beverage,2023-10-15,7404
1314,Shoes,2023-09-23,7861
5638,Clothing,2023-10-11,9253
4578,Food & Beverage,2023-09-08,6315
4720,Books,2023-11-25,7470
5858,Food & Beverage,2023-10-27,9182
3496,Technology,2023-10-17,6364
5495,Books,2023-09-01,2098
2789,Food & Beverage,2023-11-15,3304
4770,Cosmetics,2023-11-19,9614
5296,Cosmetics,2023-11-06,4388
3862,Shoes,2023-09-21,8837
5905,Shoes,2023-11-02,4606
5050,Clothing,2023-10-11,7549
1460,Food & Beverage,2023-10-01,4434
5980,Shoes,2023-09-26,6605
3135,Toys,2023-11-18,5614
3242,Clothing,2023-09-29,5600
4423,Toys,2023-10-03,5030
5479,Books,2023-10-13,9574
5642,Shoes,2023-10-13,3300
4815,Food & Beverage,2023-11-27,5791
5821,Technology,2023-09-18,4150
3865,Clothing,2023-10-09,7222
4792,Cosmetics,2023-10-09,2046
1587,Clothing,2023-11-29,3210
5567,Cosmetics,2023-10-06,284
4175,Clothing,2023-11-03,9393
5718,Cosmetics,2023-09-29,2544
3656,Technology,2023-10-08,1511
1208,Toys,2023-11-15,2465
2179,Toys,2023-09-02,3410
1116,Books,2023-11-02,707
1116,Cosmetics,2023-11-22,2843
1923,Clothing,2023-09-28,1634
4280,Books,2023-11-13,8368
5968,Shoes,2023-11-16,7252
3617,Clothing,2023-11-05,6215
1721,Food & Beverage,2023-09-26,2547
1477,Clothing,2023-09-07,2995
3177,Clothing,2023-11-28,5783
4981,Books,2023-11-21,9541
5412,Technology,2023-10-10,2925
3350,Cosmetics,2023-10-22,1827
3483,Clothing,2023-09-27,9316
3557,Clothing,2023-11-18,712
4113,Technology,2023-09-13,8539
2186,Food & Beverage,2023-10-30,6946
3948,Cosmetics,2023-10-14,5883
4346,Technology,2023-09-20,3473
5820,Cosmetics,2023-10-06,4669
5185,Clothing,2023-11-22,3988
5107,Books,2023-10-09,6108
2480,Cosmetics,2023-10-13,4845
4618,Shoes,2023-11-28,3770
1945,Technology,2023-09-29,9240
3058,Books,2023-10-28,719
3938,Cosmetics,2023-11-03,7808
3744,Shoes,2023-10-07,5423
2183,Shoes,2023-11-07,1731
5207,Cosmetics,2023-11-22,212
3063,Clothing,2023-09-12,5750
2963,Clothing,2023-10-24,1632
3209,Food & Beverage,2023-11-06,473
3202,Clothing,2023-09-17,8930
2866,Clothing,2023-09-16,9374
5155,Cosmetics,2023-10-02,1687
4569,Technology,2023-09-18,8063
5151,Food & Beverage,2023-10-15,952
4036,Clothing,2023-10-21,1850
3896,Clothing,2023-10-15,5139
4444,Toys,2023-11-14,4029
4277,Toys,2023-10-23,4228
5340,Clothing,2023-09-16,983
2376,Technology,2023-11-11,6074
5979,Shoes,2023-10-20,9278
5122,Food & Beverage,2023-11-19,2908
1980,Cosmetics,2023-10-31,9187
4890,Cosmetics,2023-11-20,7069
1463,Shoes,2023-10-15,3083
3518,Cosmetics,2023-10-31,3854
2986,Books,2023-11-04,6410
4768,Technology,2023-09-22,1221
1818,Food & Beverage,2023-11-25,7923
5773,Clothing,2023-09-19,5363
1803,Toys,2023-11-28,3247
5268,Books,2023-11-13,9525
2647,Cosmetics,2023-10-20,5968
2842,Cosmetics,2023-10-23,1154
5920,Cosmetics,2023-09-06,4376
5008,Shoes,2023-09-12,1989
1691,Cosmetics,2023-11-04,7819
4122,Food & Beverage,2023-11-02,942
3337,Technology,2023-11-25,5821
1967,Food & Beverage,2023-09-20,7406
1930,Toys,2023-11-04,5975
2337,Books,2023-09-19,5946
2789,Toys,2023-10-27,6119
3702,Books,2023-10-11,4853
5399,Books,2023-10-23,5261
4276,Books,2023-11-21,1870
3366,Food & Beverage,2023-10-25,2938
3279,Food & Beverage,2023-11-03,2736
3278,Technology,2023-10-30,8295
3518,Books,2023-11-14,7978
2242,Clothing,2023-10-10,4437
3638,Shoes,2023-10-13,1230
2993,Toys,2023-11-08,2242
4031,Books,2023-10-03,8367
3978,Shoes,2023-10-08,588
2928,Clothing,2023-09-25,3090
2473,Cosmetics,2023-10-03,3651
4778,Cosmetics,2023-09-16,6352
4802,Books,2023-10-07,9559
3528,Toys,2023-09-02,2765
3345,Shoes,2023-10-12,9243
2719,Clothing,2023-09-11,3623
1398,Books,2023-09-09,9146
1125,Food & Beverage,2023-11-08,9987
2876,Cosmetics,2023-10-08,9661
5691,Food & Beverage,2023-09-25,3479
3012,Clothing,2023-11-21,1292
4413,Shoes,2023-11-06,2414
4255,Food & Beverage,2023-11-06,4530
5684,Toys,2023-10-18,6037
3241,Food & Beverage,2023-09-14,1770
3458,Cosmetics,2023-11-17,3141
4862,Food & Beverage,2023-09-12,3517
4507,Books,2023-10-27,9111
3638,Cosmetics,2023-09-07,6071
4928,Clothing,2023-11-21,3116
5192,Books,2023-11-14,1867
2010,Food & Beverage,2023-11-24,7321
4526,Books,2023-09-21,1285
4745,Food & Beverage,2023-10-22,4907
3414,Shoes,2023-09-06,5623
4029,Shoes,2023-09-27,2689
3657,Shoes,2023-10-10,1566
1385,Cosmetics,2023-10-02,9969
4990,Toys,2023-11-09,1776
4983,Cosmetics,2023-10-31,2578
3657,Toys,2023-11-20,2892
2688,Clothing,2023-11-23,6279
4184,Books,2023-11-23,3795
5805,Technology,2023-09-09,6899
2597,Clothing,2023-10-28,2327
4155,Technology,2023-10-29,4218
2616,Toys,2023-10-23,6346
3146,Shoes,2023-09-10,7860
4119,Books,2023-10-25,2369
1419,Clothing,2023-10-02,6133
3120,Technology,2023-10-01,7135
5704,Cosmetics,2023-09-17,8280
4129,Cosmetics,2023-09-16,8409
3605,Technology,2023-11-08,4967
5939,Toys,2023-11-06,4978
5674,Food & Beverage,2023-09-29,820
5040,Books,2023-11-14,8030
3101,Food & Beverage,2023-09-28,164
1440,Books,2023-11-27,3383
2512,Shoes,2023-09-07,8899
5437,Clothing,2023-10-18,3351
1319,Books,2023-11-05,1725
2788,Technology,2023-10-11,5906
2940,Clothing,2023-10-15,949
5075,Books,2023-09-29,2955
2282,Food & Beverage,2023-09-28,8874
2431,Books,2023-11-12,4498
5141,Food & Beverage,2023-10-05,133
3618,Shoes,2023-11-27,6446
5279,Toys,2023-11-19,5821
5964,Shoes,2023-10-21,5130
4862,Books,2023-11-01,1995
1057,Shoes,2023-10-04,7014
2228,Toys,2023-11-19,7381
4454,Books,2023-10-24,9541
1132,Food & Beverage,2023-09-27,3611
1643,Toys,2023-09-12,4487
1042,Cosmetics,2023-11-23,4879
5853,Cosmetics,2023-10-18,4309
5718,Books,2023-10-03,9318
5403,Technology,2023-10-15,5743
5093,Books,2023-11-04,2064
3888,Books,2023-10-28,7947
1127,Toys,2023-11-17,6821
4869,Food & Beverage,2023-09-02,9999
4012,Toys,2023-11-12,608
3783,Clothing,2023-09-02,5628
1733,Toys,2023-10-31,2008
1728,Clothing,2023-11-23,4573
3097,Food & Beverage,2023-11-07,8231
5489,Clothing,2023-11-11,4994
2434,Food & Beverage,2023-10-16,2508
2502,Toys,2023-10-16,4821
5986,Shoes,2023-11-16,388
2520,Food & Beverage,2023-09-23,9792
5555,Toys,2023-09-12,7171
3834,Clothing,2023-09-03,7309
3805,Books,2023-11-19,4604
5686,Books,2023-10-05,5610
1494,Shoes,2023-10-29,9419
4711,Clothing,2023-10-13,1116
3368,Clothing,2023-10-20,7470
4403,Clothing,2023-11-13,8968
1051,Shoes,2023-09-21,1863
3132,Cosmetics,2023-11-12,9708
1523,Clothing,2023-10-13,3648
3041,Shoes,2023-10-03,9556
2897,Toys,2023-11-23,3583
3965,Cosmetics,2023-09-11,296
3895,Books,2023-09-17,1202
5029,Shoes,2023-09-21,1062
2758,Books,2023-09-02,5459
1733,Shoes,2023-10-25,1817
5535,Technology,2023-09-17,9141
5592,Shoes,2023-09-19,572
5577,Food & Beverage,2023-09-27,1159
3208,Food & Beverage,2023-10-13,726
4014,Toys,2023-09-06,4061
3141,Food & Beverage,2023-09-18,4760
4300,Toys,2023-11-01,5535
5686,Cosmetics,2023-11-21,1368
5064,Toys,2023-11-19,9015
3556,Toys,2023-10-27,9309
4723,Food & Beverage,2023-10-17,4242
1924,Technology,2023-09-21,8511
3725,Toys,2023-11-27,8752
5450,Food & Beverage,2023-10-28,5964
1176,Food & Beverage,2023-09-30,8062
1469,Clothing,2023-10-31,5042
3835,Books,2023-11-23,6495
4247,Clothing,2023-09-09,5033
5105,Shoes,2023-10-23,2414
2474,Books,2023-09-05,3875
2659,Technology,2023-09-17,3959
5000,Cosmetics,2023-09-15,1850
4523,Technology,2023-10-10,1924
4958,Clothing,2023-09-02,7212
2628,Shoes,2023-10-24,3130
2238,Technology,2023-11-06,9272
3616,Books,2023-09-01,7532
4737,Shoes,2023-09-15,9892
3362,Food & Beverage,2023-11-19,7379
4465,Books,2023-10-31,7607
5900,Shoes,2023-10-21,1972
2585,Books,2023-10-08,8515
4413,Clothing,2023-11-19,6333
1265,Clothing,2023-11-12,468
5551,Books,2023-11-26,9539
1733,Books,2023-10-07,5852
1996,Cosmetics,2023-09-14,8042
5912,Food & Beverage,2023-10-16,1629
3447,Clothing,2023-10-13,8346
1034,Technology,2023-09-08,9552
1312,Books,2023-09-10,1675
4326,Food & Beverage,2023-10-06,8908
4298,Cosmetics,2023-11-23,9334
5319,Books,2023-10-14,3087
1721,Food & Beverage,2023-09-16,9710
4452,Technology,2023-09-03,3936
3370,Toys,2023-11-27,6421
2403,Cosmetics,2023-09-17,9527
4091,Shoes,2023-11-15,6335
2049,Books,2023-09-20,171
4779,Food & Beverage,2023-10-06,3773
2318,Food & Beverage,2023-09-30,4965
5727,Technology,2023-11-06,399
4247,Shoes,2023-10-31,9493
5260,Toys,2023-11-16,992
3952,Food & Beverage,2023-11-16,3917
2739,Cosmetics,2023-10-14,9105
4338,Toys,2023-09-26,8018
4960,Cosmetics,2023-10-28,7188
4703,Food & Beverage,2023-11-03,1617
4038,Technology,2023-10-04,5948
5618,Shoes,2023-10-17,7030
2694,Shoes,2023-09-09,1626
3112,Shoes,2023-09-26,261
3851,Cosmetics,2023-10-21,9856
4566,Food & Beverage,2023-10-30,9592
4148,Food & Beverage,2023-09-28,6581
4683,Food & Beverage,2023-11-03,1850
4299,Toys,2023-10-24,9862
5526,Food & Beverage,2023-09-08,7090
4049,Cosmetics,2023-10-14,1212
2241,Technology,2023-10-05,8354
2829,Shoes,2023-11-18,1495
5055,Technology,2023-11-19,7354
1103,Toys,2023-09-18,1233
2183,Books,2023-11-23,1216
1360,Technology,2023-09-10,6847
2358,Shoes,2023-11-26,7288
3541,Clothing,2023-10-16,2371
2140,Food & Beverage,2023-10-04,7996
2565,Shoes,2023-10-16,3429
2876,Clothing,2023-10-21,2819
5315,Shoes,2023-10-29,8983
4182,Clothing,2023-09-30,2761
2654,Food & Beverage,2023-09-05,2299
3045,Shoes,2023-10-11,3917
4041,Clothing,2023-11-17,4981
1480,Shoes,2023-09-06,4946
4006,Clothing,2023-09-30,9615
4701,Cosmetics,2023-09-20,669
5779,Books,2023-10-01,2619
2737,Food & Beverage,2023-10-13,4929
4555,Books,2023-10-21,5909
3767,Food & Beverage,2023-10-19,5090
4433,Books,2023-10-22,6590
3056,Clothing,2023-10-01,1523
3453,Technology,2023-10-29,8286
4824,Food & Beverage,2023-09-18,3412
1099,Books,2023-10-27,8456
2792,Cosmetics,2023-11-23,3049
1132,Shoes,2023-09-01,8906
2409,Technology,2023-09-20,957
1153,Books,2023-10-11,8289
4050,Toys,2023-11-09,3688
2701,Shoes,2023-10-21,6072
1781,Clothing,2023-11-07,4908
5308,Cosmetics,2023-10-19,8405
2031,Toys,2023-11-29,823
1296,Clothing,2023-10-19,9277
1596,Food & Beverage,2023-09-04,9059
3169,Food & Beverage,2023-09-20,2242
3042,Clothing,2023-09-20,6551
4043,Clothing,2023-09-04,1756
3470,Shoes,2023-10-20,2076
5176,Toys,2023-11-12,6064
3719,Technology,2023-09-05,1335
4632,Shoes,2023-09-24,5587
3037,Clothing,2023-11-13,3973
1848,Shoes,2023-11-26,9154
3883,Clothing,2023-10-05,9008
4311,Clothing,2023-11-27,6306
3280,Clothing,2023-10-23,8171
2573,Cosmetics,2023-10-12,2121
3320,Clothing,2023-11-04,6446
2299,Cosmetics,2023-11-06,9638
1327,Clothing,2023-11-03,5000
1943,Clothing,2023-09-18,7627
4498,Books,2023-09-18,9825
3639,Technology,2023-10-18,1797
3783,Technology,2023-09-19,4187
2528,Toys,2023-11-04,5300
3930,Books,2023-11-17,426
5195,Clothing,2023-09-20,6208
4818,Technology,2023-11-21,2252
2395,Food & Beverage,2023-11-24,9710
1330,Clothing,2023-10-09,9053
5121,Cosmetics,2023-10-24,7851
5242,Food & Beverage,2023-09-08,5496
1429,Cosmetics,2023-10-13,2497
4325,Shoes,2023-11-09,6129
4941,Cosmetics,2023-11-20,4815
4188,Toys,2023-09-20,6507
5770,Clothing,2023-10-24,1160
1130,Technology,2023-11-13,2466
5273,Food & Beverage,2023-11-25,6098
5244,Clothing,2023-09-03,4319
1202,Shoes,2023-09-21,3176
2443,Books,2023-11-27,4848
1960,Shoes,2023-11-23,1825
4693,Food & Beverage,2023-11-04,5394
4597,Food & Beverage,2023-11-04,1029
5053,Technology,2023-11-18,7041
5852,Books,2023-09-01,4809
1218,Technology,2023-10-01,733
3565,Technology,2023-09-01,9558
3484,Clothing,2023-11-19,9220
4949,Cosmetics,2023-10-08,8565
2089,Shoes,2023-10-12,8696
3703,Technology,2023-11-01,1992
3651,Food & Beverage,2023-10-09,1795
4293,Food & Beverage,2023-10-28,8922
5995,Shoes,2023-09-01,4978
2433,Clothing,2023-10-23,4201
5560,Technology,2023-11-26,4417
3512,Clothing,2023-09-22,3989
2915,Cosmetics,2023-09-20,8998
5242,Food & Beverage,2023-10-28,9839
1989,Clothing,2023-09-17,539
2809,Shoes,2023-11-23,7234
1852,Shoes,2023-10-29,3599
4524,Books,2023-11-16,4790
3020,Toys,2023-10-01,4053
3638,Shoes,2023-10-22,8598
2196,Toys,2023-09-30,5643
1536,Toys,2023-09-22,8009
2639,Food & Beverage,2023-10-13,5246
4407,Books,2023-10-26,6171
4029,Shoes,2023-10-13,941
2393,Cosmetics,2023-10-22,3878
2250,Clothing,2023-10-31,3913
3118,Food & Beverage,2023-11-06,1375
5935,Toys,2023-09-28,958
4634,Technology,2023-10-21,1565
2277,Technology,2023-09-11,2027
4301,Clothing,2023-09-29,8860
2045,Technology,2023-11-15,2497
4697,Technology,2023-11-15,4568
5595,Cosmetics,2023-10-09,635
4232,Books,2023-11-07,105
5305,Books,2023-10-15,1885
1325,Technology,2023-10-21,1888
5050,Technology,2023-11-25,1861
5819,Food & Beverage,2023-11-13,7783
2456,Technology,2023-09-17,1843
5374,Books,2023-09-11,5436
5285,Clothing,2023-10-23,653
3183,Cosmetics,2023-11-24,6928
4456,Food & Beverage,2023-11-24,6077
5454,Cosmetics,2023-10-03,9935
4852,Technology,2023-10-26,5107
5669,Toys,2023-09-23,9843
5236,Food & Beverage,2023-10-03,5776
5697,Clothing,2023-09-22,5365
3039,Technology,2023-11-16,1337
3376,Shoes,2023-09-18,9624
1546,Toys,2023-10-09,3558
3910,Clothing,2023-09-05,2097
5026,Food & Beverage,2023-09-03,1473
4588,Technology,2023-09-03,3713
4390,Shoes,2023-09-10,775
4021,Clothing,2023-11-04,1741
5000,Cosmetics,2023-09-18,4358
1329,Shoes,2023-09-26,4540
1574,Shoes,2023-11-07,4182
2374,Food & Beverage,2023-09-18,6932
5961,Toys,2023-11-20,5289
3532,Toys,2023-11-05,174
5908,Toys,2023-10-04,852
4361,Cosmetics,2023-10-30,6109
4539,Technology,2023-10-30,8333
2501,Clothing,2023-09-18,8871
5959,Cosmetics,2023-10-07,1190
5876,Technology,2023-09-18,3079
2597,Cosmetics,2023-10-03,1976
3051,Books,2023-10-08,5714
1482,Books,2023-09-12,8110
4795,Shoes,2023-11-10,6004
2110,Technology,2023-10-18,420
3917,Books,2023-11-27,5341
2216,Food & Beverage,2023-11-14,4836
3058,Cosmetics,2023-10-20,3662
2415,Toys,2023-10-01,1105
2966,Shoes,2023-09-11,732
1614,Books,2023-10-01,6864
2762,Cosmetics,2023-10-03,1327
5343,Clothing,2023-09-17,1615
5971,Toys,2023-10-17,838
5121,Books,2023-11-20,752
4970,Food & Beverage,2023-09-23,608
2056,Toys,2023-09-20,6556
5170,Technology,2023-10-14,6097
1941,Toys,2023-11-20,1886
4955,Clothing,2023-09-05,1302
1611,Technology,2023-10-12,6326
5956,Technology,2023-10-20,8991
1075,Clothing,2023-10-09,1651
3460,Technology,2023-09-06,1459
2387,Food & Beverage,2023-10-07,1126
1413,Clothing,2023-11-15,3284
2695,Cosmetics,2023-10-06,6586
4264,Books,2023-09-25,1315
4616,Toys,2023-09-16,4736
2282,Technology,2023-09-30,1497
2634,Cosmetics,2023-09-17,8720
5137,Toys,2023-09-20,1728
3734,Shoes,2023-09-23,8243
2820,Books,2023-10-18,2254
5094,Food & Beverage,2023-10-02,429
3136,Clothing,2023-11-27,2782
4039,Shoes,2023-09-06,6807
4676,Food & Beverage,2023-10-12,6767
3971,Technology,2023-09-07,4710
3926,Technology,2023-10-16,8970
3679,Technology,2023-11-11,3484
5370,Food & Beverage,2023-09-08,4014
3791,Books,2023-10-12,191
3294,Cosmetics,2023-10-09,9348
4685,Books,2023-09-16,549
2549,Food & Beverage,2023-11-01,4073
1629,Food & Beverage,2023-10-07,5477
2955,Books,2023-09-29,2514
5255,Clothing,2023-10-21,3656
4451,Cosmetics,2023-11-13,1063
4302,Clothing,2023-09-10,9685
1886,Books,2023-09-13,1788
4804,Clothing,2023-11-02,7129
1918,Toys,2023-09-25,8631
4207,Books,2023-09-07,6975
1642,Books,2023-09-11,3135
4596,Clothing,2023-11-09,8723
2224,Technology,2023-11-18,3799
1756,Cosmetics,2023-10-23,9402
5221,Cosmetics,2023-10-04,293
2677,Toys,2023-10-10,6774
3610,Food & Beverage,2023-10-16,8737
3653,Shoes,2023-09-11,634
2325,Technology,2023-10-25,1112
4459,Food & Beverage,2023-09-23,7439
1318,Technology,2023-11-02,3155
3968,Clothing,2023-09-07,595
4436,Books,2023-09-29,1169
2416,Technology,2023-10-20,2283
1171,Shoes,2023-11-20,8946
2066,Books,2023-11-19,5906
2568,Clothing,2023-11-20,1014
3825,Food & Beverage,2023-10-30,4955
3935,Books,2023-11-15,9724
5470,Clothing,2023-11-22,6152
3691,Clothing,2023-10-30,7618
3872,Toys,2023-09-05,3163
4523,Toys,2023-09-26,9698
1940,Food & Beverage,2023-10-22,2690
1877,Cosmetics,2023-11-25,9152
4215,Books,2023-10-13,8833
4600,Cosmetics,2023-09-20,5523
3581,Shoes,2023-11-28,224
4462,Books,2023-09-27,6927
4868,Shoes,2023-11-13,4600
4360,Cosmetics,2023-10-06,8350
3757,Cosmetics,2023-09-29,6132
4094,Food & Beverage,2023-11-23,5552
5299,Books,2023-11-09,8652
1965,Cosmetics,2023-09-18,7729
3386,Books,2023-11-01,9984
2790,Books,2023-10-10,3246
2238,Books,2023-09-01,7432
4674,Food & Beverage,2023-11-21,630
5385,Shoes,2023-11-21,8832
5074,Clothing,2023-11-18,6161
4801,Shoes,2023-11-16,5163
1455,Technology,2023-10-07,2964
1611,Clothing,2023-10-23,613
5088,Books,2023-11-04,8090
3598,Books,2023-11-23,4150
3094,Technology,2023-11-16,5689
2485,Food & Beverage,2023-11-08,1158
1502,Books,2023-09-13,7877
5740,Technology,2023-10-16,7523
1128,Toys,2023-10-23,3639
3838,Toys,2023-09-27,860
1818,Food & Beverage,2023-09-25,1459
2219,Cosmetics,2023-11-28,7320
2099,Toys,2023-09-09,698
5726,Cosmetics,2023-10-08,5433
2353,Toys,2023-09-29,6643
1480,Technology,2023-10-14,7911
1709,Food & Beverage,2023-09-23,6521
2013,Technology,2023-10-24,6809
1478,Technology,2023-11-10,7689
2815,Food & Beverage,2023-11-28,625
5304,Shoes,2023-10-07,9924
2904,Toys,2023-10-10,8399
2268,Shoes,2023-09-10,3958
1697,Books,2023-09-11,6752
1114,Shoes,2023-10-17,9646
2717,Food & Beverage,2023-11-25,7319
3547,Books,2023-11-15,1406
5365,Food & Beverage,2023-11-23,5038
5230,Technology,2023-10-25,863
1713,Food & Beverage,2023-10-08,1582
4392,Food & Beverage,2023-09-12,4057
2377,Technology,2023-10-30,8738
1066,Books,2023-10-15,5032
5089,Clothing,2023-10-24,3689
1705,Clothing,2023-09-16,276
5125,Cosmetics,2023-09-21,9297
1589,Shoes,2023-11-13,166
3021,Toys,2023-11-01,6196
4713,Clothing,2023-10-23,4708
2095,Toys,2023-09-12,8308
2108,Books,2023-09-28,1249
3836,Toys,2023-11-28,4932
2662,Toys,2023-09-12,6602
5330,Cosmetics,2023-09-24,5798
2418,Clothing,2023-10-29,2226
4648,Technology,2023-11-18,7972
4484,Food & Beverage,2023-10-28,7505
1672,Shoes,2023-10-17,9891
3843,Technology,2023-09-26,7911
1346,Food & Beverage,2023-11-07,1212
4148,Shoes,2023-10-26,9566
2746,Clothing,2023-11-26,2241
2243,Cosmetics,2023-10-15,888
1838,Clothing,2023-10-15,8741
4745,Technology,2023-10-30,295
3446,Food & Beverage,2023-11-23,1370
1125,Toys,2023-10-15,5114
4888,Clothing,2023-11-09,6192
1792,Books,2023-11-13,9402
2064,Shoes,2023-11-19,2905
2613,Food & Beverage,2023-11-25,994
2679,Clothing,2023-09-21,3882
1416,Cosmetics,2023-11-18,5130
5809,Books,2023-09-11,8418
5277,Books,2023-10-15,2472
1690,Clothing,2023-11-19,3080
1532,Clothing,2023-09-11,7131
5836,Technology,2023-10-22,5200
1380,Cosmetics,2023-11-11,4068
5168,Shoes,2023-11-02,3175
5674,Books,2023-11-23,2785
5933,Cosmetics,2023-09-01,3840
2009,Toys,2023-11-18,689
5771,Technology,2023-10-21,232
5351,Food & Beverage,2023-09-03,3121
1109,Cosmetics,2023-11-24,4375
2045,Cosmetics,2023-10-03,3420
3724,Books,2023-09-04,9963
4430,Cosmetics,2023-09-02,4587
1257,Clothing,2023-10-28,9214
4278,Food & Beverage,2023-10-17,7758
3137,Shoes,2023-11-11,4835
4995,Technology,2023-10-29,5962
1709,Clothing,2023-11-03,5656
1672,Cosmetics,2023-09-27,2733
3399,Food & Beverage,2023-11-27,1749
2807,Shoes,2023-11-20,1322
1198,Toys,2023-11-02,2850
4153,Food & Beverage,2023-11-04,9960
2276,Toys,2023-10-01,9520
2867,Food & Beverage,2023-09-23,3145
4147,Technology,2023-11-22,7522
3750,Shoes,2023-09-11,2585
3520,Technology,2023-09-06,1833
1133,Clothing,2023-09-20,1192
4305,Cosmetics,2023-09-19,1338
1447,Shoes,2023-10-13,6016
1027,Toys,2023-09-10,8911
2042,Clothing,2023-10-26,138
2008,Cosmetics,2023-10-01,8013
4977,Clothing,2023-11-27,9231
2601,Technology,2023-09-29,2752
4615,Technology,2023-11-11,3216
5050,Cosmetics,2023-11-25,1432
3722,Technology,2023-11-16,7180
3195,Food & Beverage,2023-09-27,5246
4033,Food & Beverage,2023-10-22,4127
5102,Shoes,2023-11-10,8183
2424,Books,2023-09-12,9881
1748,Technology,2023-10-15,8156
5715,Books,2023-09-23,7675
3444,Shoes,2023-11-01,1458
3442,Cosmetics,2023-09-04,7167
4258,Clothing,2023-09-09,8807
4168,Shoes,2023-09-24,6022
1692,Food & Beverage,2023-11-04,9880
2459,Technology,2023-10-11,786
1951,Shoes,2023-09-22,4951
2744,Technology,2023-11-26,9510
3767,Food & Beverage,2023-11-04,7237
4465,Technology,2023-11-13,3852
5564,Clothing,2023-10-09,6868
5109,Food & Beverage,2023-11-13,1180
2871,Books,2023-11-18,1133
3716,Toys,2023-09-23,7606
1246,Technology,2023-10-19,1490
1512,Food & Beverage,2023-10-04,5293
2424,Food & Beverage,2023-11-16,4370
1303,Books,2023-11-13,3248
2612,Clothing,2023-10-08,6698
2109,Food & Beverage,2023-11-13,5554
2766,Books,2023-11-22,1154
1102,Cosmetics,2023-10-14,5325
5071,Technology,2023-09-11,6036
1940,Clothing,2023-11-16,3839
2664,Books,2023-10-17,1811
1033,Books,2023-10-18,1622
4003,Food & Beverage,2023-10-23,5017
5183,Cosmetics,2023-11-15,9673
